Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made,geometry
Gisele Trajano,1.4,Brazil,retail,2141,,,Brazil,Single,,,FALSE,POINT (-53.2 -10.3333333)
Jayshree Ullal,1.4,United States,computer networking,2141,60,"Saratoga, California",United States,Married,2,"Bachelor of Arts/Science, San Francisco State University; Master of Science, Santa Clara University",TRUE,POINT (-122.0230146 37.2638324)
Vardis Vardinoyannis & family,1.4,Greece,oil and gas,2141,88,"Athens, Greece",Greece,,5,,TRUE,POINT (23.7283052 37.9839412)
Sunny Varkey,1.4,India,education,2141,64,"Dubai, United Arab Emirates",India,Married,2,,FALSE,POINT (55.1885387 25.0742823)
Wang Jianfeng & family,1.4,China,auto parts,2141,,"Ningbo, China",China,,,,TRUE,POINT (121.6203873 29.8622194)
Wang Junjin,1.4,China,airline,2141,52,"Shanghai, China",China,,,,TRUE,POINT (121.4692071 31.2322758)
Wang Mingwang,1.4,China,electronics components,2141,54,"Shenzhen, China",China,Married,,"EMBA, Sun Yat-sen University",TRUE,POINT (114.0543297 22.555454)
Wang Xiaoshen,1.4,China,lithium,2141,52,"Urumchi, China",China,,,,TRUE,POINT (87.6139038 43.8244074)
Werner O. Weber,1.4,Switzerland,electronic components,2141,82,"Zurich, Switzerland",Switzerland,,,,TRUE,POINT (8.5410422 47.3744489)
Drorit Wertheim,1.4,Israel,Coca Cola Israel,2141,65,"Bnei Atarot, Israel",Israel,Divorced,2,,FALSE,POINT (34.9118719 32.0235637)
"Alfred West, Jr.",1.4,United States,money management,2141,78,"Paoli, Pennsylvania",United States,Married,3,"Bachelor of Arts/Science, Georgia Institute of Technology; Master of Business Administration, University of Pennsylvania, The Wharton School",TRUE,POINT (-75.4838685 40.0417847)
Wu Po Sum,1.4,China,real estate,2141,70,"Zhengzhou, China",China,Married,,,TRUE,POINT (113.6191483 34.7487244)
Xie Ketao,1.4,China,education,2141,57,"Guangzhou, China",China,,,,TRUE,POINT (113.2592945 23.1301964)
Swift Xie,1.4,China,drones,2141,41,"Shenzhen, China",China,,,,TRUE,POINT (114.0543297 22.555454)
Yu Guo,1.4,China,education,2141,59,"Nanchang, China",China,,,,TRUE,POINT (115.8540042 28.687547)
"Richard Yuengling, Jr.",1.4,United States,beer,2141,78,"Pottsville, Pennsylvania",United States,Divorced,4,"Drop Out, Lycoming College",FALSE,POINT (-76.19537010000001 40.6851324)
Clayton Zekelman,1.4,Canada,steel,2141,52,"Windsor, Canada",Canada,,,,FALSE,POINT (-83.0353434 42.317099)
Zheng Hong & family,1.4,China,electronics,2141,70,"Beijing, China",China,,,,TRUE,POINT (116.3912757 39.906217)
Shusheng Zheng,1.4,China,telecom,2141,55,"Hangzhou, China",China,,,"Doctorate, Zhejiang University",TRUE,POINT (120.2052342 30.2489634)
Zhuo Jun,1.4,Hong Kong,printed circuit boards,2141,55,"Hong Kong, Hong Kong",Hong Kong,Widowed,,,FALSE,POINT (114.1628131 22.2793278)
Inigo Zobel,1.4,Philippines,Diversified,2141,64,"Makati, Philippines",Philippines,,,,FALSE,POINT (121.0211226 14.5567949)
Sanjay Agarwal,1.3,India,banking,2263,50,"Jaipur, India",India,Married,2,"Chartered Accountant, Institute of Chartered Accountants of India",TRUE,POINT (75.81898169999999 26.9154576)
Hamad bin Jassim bin Jaber Al Thani,1.3,Qatar,investments,2263,61,"Doha, Qatar",Qatar,Married,,,FALSE,POINT (51.5264162 25.2856329)
Nerio Alessandri,1.3,Italy,gym equipment,2263,60,"Cesena, Italy",Italy,Married,2,,TRUE,POINT (12.2422442 44.136352)
Mika Anttonen,1.3,Finland,oil & gas,2263,54,"Helsinki, Finland",Finland,Married,,,TRUE,POINT (24.9427473 60.1674881)
Ryuji Arai,1.3,Japan,appliances,2263,74,"Tokyo, Japan",Japan,,,,TRUE,POINT (139.7594549 35.6828387)
Mehmet Aydinlar,1.3,Turkey,hospitals,2263,64,"Istanbul, Turkey",Turkey,Married,1,,TRUE,POINT (28.9651646 41.0096334)
Achal Bakeri,1.3,India,air coolers,2263,61,"Ahmedabad, India",India,Married,2,"Master of Business Administration, Marshall School of Business",TRUE,POINT (72.5797068 23.0216238)
Elena Baturina,1.3,Russia,"investments, real estate",2263,58,"London, United Kingdom",Russia,Widowed,2,"Bachelor of Arts/Science, State University of Management",TRUE,POINT (-0.1276474 51.5073219)
Othman Benjelloun & family,1.3,Morocco,"banking, insurance",2263,88,"Casablanca, Morocco",Morocco,Married,2,"Diploma, Ecole Polytechnique de Lausanne",FALSE,POINT (-7.6187768 33.5950627)
Oleg Boyko,1.3,Russia,diversified,2263,56,"Lipperswil, Switzerland",Russia,Single,,"Master of Science, Moscow Aviation University; Master of Business Administration, Russian National Academy of National Economy and Public Administration",TRUE,POINT (9.056229099999999 47.6158599)
Ludwig Theodor Braun,1.3,Germany,medical technology,2263,31,"Melsungen, Germany",Germany,,,,FALSE,POINT (9.5437136 51.1298048)
Ana Maria Brescia Cafferata,1.3,Peru,"mining, banking",2263,97,"Lima, Peru",Peru,Single,,,FALSE,POINT (-77.0365256 -12.0621065)
Chris Britt,1.3,United States,fintech,2263,48,"San Francisco, California",United States,,,"Bachelor of Arts/Science, Tulane University",TRUE,POINT (-122.419906 37.7790262)
Rafal Brzoska,1.3,Poland,parcel lockers,2263,43,"Warsaw, Poland",Poland,,,,TRUE,POINT (21.0067249 52.2319581)
Chuck Bundrant,1.3,United States,fishing,2263,79,"Seattle, Washington",United States,Married,3,"Drop Out, Middle Tennessee State University",TRUE,POINT (-122.3300624 47.6038321)
Pradip Burman,1.3,India,consumer goods,2263,78,"Delhi, India",India,Married,2,"Bachelor of Engineering, Massachusetts Institute of Technology",FALSE,POINT (77.2219388 28.6517178)
Cao Xiaochun,1.3,China,pharmaceuticals,2263,52,"Hangzhou, China",China,,,,TRUE,POINT (120.2052342 30.2489634)
Chang Pyung-soon,1.3,South Korea,educational services,2263,70,"Seoul, South Korea",South Korea,Married,2,"Bachelor of Arts/Science, Yonsei University",TRUE,POINT (126.9782914 37.5666791)
Jeffrey Cheah,1.3,Malaysia,property,2263,76,"Kuala Lumpur, Malaysia",Malaysia,Married,3,"Bachelor of Arts/Science, Victoria University",TRUE,POINT (101.6942371 3.1516964)
